Year,height,latitude,logtitude,hour,1,5,10,15,20,25,30
2016,100,19,155,0,1.23E+11,1.23E+11,1.23E+11,1.22E+11,1.22E+11,1.22E+11,1.21E+11
2016,100,19,155,1,1.29E+11,1.29E+11,1.29E+11,1.28E+11,1.28E+11,1.27E+11,1.27E+11
2016,100,19,155,2,1.30E+11,1.30E+11,1.30E+11,1.29E+11,1.29E+11,1.28E+11,1.28E+11
2016,100,19,155,3,1.27E+11,1.27E+11,1.26E+11,1.26E+11,1.25E+11,1.24E+11,1.24E+11
2016,100,19,155,4,1.19E+11,1.19E+11,1.18E+11,1.17E+11,1.17E+11,1.16E+11,1.15E+11
2016,100,19,155,5,1.05E+11,1.05E+11,1.04E+11,1.03E+11,1.02E+11,1.01E+11,9.92E+10
2016,100,19,155,6,8.20E+10,8.12E+10,7.98E+10,7.82E+10,7.63E+10,7.42E+10,7.30E+10
2016,100,19,155,7,5.77E+10,5.69E+10,5.58E+10,5.44E+10,5.29E+10,5.12E+10,4.93E+10
2016,100,19,155,8,2.64E+10,2.51E+10,2.34E+10,2.14E+10,1.93E+10,1.71E+10,1.50E+10
2016,100,19,155,9,3.39E+09,3.12E+09,2.80E+09,2.50E+09,2.24E+09,2.03E+09,2.02E+09
2016,100,19,155,10,2.05E+09,2.04E+09,2.03E+09,2.03E+09,2.02E+09,2.01E+09,2.01E+09
2016,100,19,155,11,2.03E+09,2.03E+09,2.02E+09,2.01E+09,2.01E+09,2.00E+09,1.99E+09
2016,100,19,155,12,2.02E+09,2.02E+09,2.01E+09,2.00E+09,2.00E+09,1.99E+09,1.99E+09
2016,100,19,155,13,2.02E+09,2.01E+09,2.01E+09,2.00E+09,1.99E+09,1.99E+09,1.98E+09
2016,100,19,155,14,2.02E+09,2.01E+09,2.01E+09,2.00E+09,1.99E+09,1.99E+09,1.98E+09
2016,100,19,155,15,2.02E+09,2.01E+09,2.01E+09,2.00E+09,2.00E+09,1.99E+09,1.98E+09
2016,100,19,155,16,2.02E+09,2.02E+09,2.01E+09,2.01E+09,2.00E+09,2.00E+09,1.99E+09
2016,100,19,155,17,2.04E+09,2.03E+09,2.03E+09,2.02E+09,2.01E+09,2.01E+09,2.00E+09
2016,100,19,155,18,2.05E+09,2.05E+09,2.04E+09,2.04E+09,2.03E+09,2.02E+09,2.02E+09
2016,100,19,155,19,9.68E+09,9.15E+09,8.56E+09,8.03E+09,7.57E+09,7.18E+09,6.83E+09
2016,100,19,155,20,4.25E+10,4.19E+10,4.12E+10,4.05E+10,3.99E+10,3.93E+10,3.88E+10
2016,100,19,155,21,6.83E+10,6.80E+10,6.75E+10,6.72E+10,6.68E+10,6.65E+10,6.61E+10
2016,100,19,155,22,9.44E+10,9.41E+10,9.37E+10,9.32E+10,9.28E+10,9.24E+10,9.19E+10
2016,100,19,155,23,1.12E+11,1.12E+11,1.12E+11,1.12E+11,1.11E+11,1.11E+11,1.10E+11
2016,100,19,155,24,1.23E+11,1.23E+11,1.23E+11,1.22E+11,1.22E+11,1.22E+11,1.21E+11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,