month,height,latitude,logtitude,2013,2014,2015,2016
1,100,19,155,1.22E+11,1.37E+11,1.35E+11,1.20E+11
2,100,19,155,1.27E+11,1.50E+11,1.40E+11,1.24E+11
3,100,19,155,1.34E+11,1.59E+11,1.46E+11,1.31E+11
4,100,19,155,1.39E+11,1.67E+11,1.51E+11,1.35E+11
5,100,19,155,1.42E+11,1.70E+11,1.51E+11,1.35E+11
6,100,19,155,1.43E+11,1.70E+11,1.50E+11,1.33E+11
7,100,19,155,1.44E+11,1.69E+11,1.48E+11,1.32E+11
8,100,19,155,1.46E+11,1.67E+11,1.46E+11,1.30E+11
9,100,19,155,1.47E+11,1.63E+11,1.44E+11,1.28E+11
10,100,19,155,1.44E+11,1.56E+11,1.39E+11,1.22E+11
11,100,19,155,1.37E+11,1.46E+11,1.31E+11,1.15E+11
12,100,19,155,1.30E+11,1.38E+11,1.23E+11,1.09E+11